league,playoffs,date,game,patch,gamelength,blue_playerid,result,firstblood,firstdragon,blue_dragons,blue_elementaldrakes,blue_infernals,blue_mountains,blue_clouds,blue_oceans,blue_elders,firstherald,blue_heralds,firstbaron,blue_barons,firsttower,blue_towers,firstmidtower,firsttothreetowers,blue_inhibitors,red_playerid,red_dragons,red_elementaldrakes,red_infernals,red_mountains,red_clouds,red_oceans,red_elders,red_heralds,red_barons,red_towers,red_inhibitors,blue_totalgold,blue_earnedgold,blue_spentgold,blue_goldat10,blue_goldat15,red_totalgold,red_earnedgold,red_spentgold,red_goldat10,red_goldat15,blue_totalgold_diff,red_totalgold_diff,blue_earnedgold_diff,red_earnedgold_diff,blue_spentgold_diff,red_spentgold_diff,blue_gold_diffat10,red_gold_diffat10,blue_gold_diffat15,red_gold_diffat15
LPL,False,2020-01-19 10:23:00,2,10.1,2122,Vici Gaming,True,True,True,5,4.0,2.0,0.0,1.0,1.0,1.0,True,2.0,False,1,True,9,True,True,2.0,Dominus Esports,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,67865,44845,59075.0,16376.0,26356.0,61108,38088,58303.0,14732.0,23345.0,6757,-6757,6757,-6757,772.0,-772.0,1644.0,-1644.0,3011.0,-3011.0
LPL,False,2020-01-19 11:22:00,3,10.1,2087,Vici Gaming,True,True,False,1,0.0,0.0,0.0,0.0,0.0,1.0,True,2.0,True,2,True,9,False,True,1.0,Dominus Esports,4,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0,4,0.0,64225,41560,56110.0,15938.0,24311.0,57571,34906,55433.0,15528.0,23911.0,6654,-6654,6654,-6654,677.0,-677.0,410.0,-410.0,400.0,-400.0
LPL,False,2020-01-19 12:27:00,1,10.1,1841,EDward Gaming,True,True,True,4,4.0,0.0,1.0,1.0,2.0,0.0,False,0.0,True,1,False,9,False,True,2.0,Top Esports,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2,0.0,56475,36320,52010.0,16164.0,23457.0,46226,26071,45583.0,15852.0,24094.0,10249,-10249,10249,-10249,6427.0,-6427.0,312.0,-312.0,-637.0,637.0
LPL,False,2020-01-19 13:19:00,2,10.1,1657,Top Esports,True,False,False,3,3.0,0.0,0.0,1.0,2.0,0.0,True,2.0,True,1,True,10,True,True,2.0,EDward Gaming,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,2,0.0,52489,34209,48000.0,14947.0,23782.0,41349,23069,38765.0,14857.0,22181.0,11140,-11140,11140,-11140,9235.0,-9235.0,90.0,-90.0,1601.0,-1601.0
LPL,False,2020-01-19 14:07:00,3,10.1,1871,EDward Gaming,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,False,1.0,False,0,True,3,False,False,0.0,Top Esports,5,4.0,0.0,1.0,2.0,1.0,1.0,1.0,1,9,2.0,46855,26395,45220.0,14404.0,22459.0,55135,34675,48950.0,14757.0,22868.0,-8280,8280,-8280,8280,-3730.0,3730.0,-353.0,353.0,-409.0,409.0
LFL,False,2020-01-21 18:55:00,1,10.01,2053,Misfits Premier,True,False,True,4,4.0,1.0,1.0,0.0,2.0,0.0,False,0.0,True,1,False,8,True,True,1.0,IZI Dream,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2,0.0,61578,39258,56788.0,15045.0,23529.0,52000,29680,49575.0,14591.0,22911.0,9578,-9578,9578,-9578,7213.0,-7213.0,454.0,-454.0,618.0,-618.0
LFL,False,2020-01-21 20:16:00,1,10.01,2152,GameWard,True,False,False,3,3.0,3.0,0.0,0.0,0.0,0.0,False,0.0,True,1,False,11,False,False,3.0,Team MCES,3,3.0,1.0,1.0,0.0,1.0,0.0,2.0,0,3,0.0,63983,40653,60350.0,14828.0,22029.0,57068,33738,55175.0,14754.0,24585.0,6915,-6915,6915,-6915,5175.0,-5175.0,74.0,-74.0,-2556.0,2556.0
LFL,False,2020-01-21 21:16:00,1,10.01,1282,Solary,False,True,False,1,1.0,0.0,0.0,0.0,1.0,0.0,False,0.0,False,0,False,0,False,False,0.0,GamersOrigin,2,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0,8,1.0,30383,15928,28285.0,14131.0,21040.0,42817,28362,33250.0,16142.0,25805.0,-12434,12434,-12434,12434,-4965.0,4965.0,-2011.0,2011.0,-4765.0,4765.0
LFL,False,2020-01-21 22:16:00,1,10.01,1812,Vitality.Bee,True,True,True,3,3.0,1.0,0.0,2.0,0.0,0.0,True,2.0,True,1,True,10,True,True,1.0,LDLC OL,2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0,3,0.0,57204,37344,52225.0,15075.0,23697.0,49108,29248,44703.0,15004.0,24037.0,8096,-8096,8096,-8096,7522.0,-7522.0,71.0,-71.0,-340.0,340.0
LFL,False,2020-01-22 18:51:00,1,10.01,1803,Misfits Premier,False,False,True,2,2.0,1.0,0.0,1.0,0.0,0.0,True,1.0,False,0,True,2,False,False,0.0,GameWard,2,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1,8,1.0,49363,29593,48425.0,16486.0,25932.0,55789,36019,46875.0,16689.0,23376.0,-6426,6426,-6426,6426,1550.0,-1550.0,-203.0,203.0,2556.0,-2556.0
LFL,False,2020-01-22 19:46:00,1,10.01,1954,GamersOrigin,True,True,False,4,4.0,0.0,1.0,3.0,0.0,0.0,False,1.0,True,1,True,9,False,True,1.0,IZI Dream,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,3,0.0,61100,39790,54733.0,14882.0,23733.0,49621,28311,46625.0,14405.0,21660.0,11479,-11479,11479,-11479,8108.0,-8108.0,477.0,-477.0,2073.0,-2073.0
LFL,False,2020-01-22 20:52:00,1,10.01,1674,LDLC OL,True,False,False,1,1.0,0.0,0.0,1.0,0.0,0.0,True,2.0,False,0,True,7,True,True,1.0,Solary,3,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1,3,0.0,49356,30901,41735.0,15216.0,23636.0,45118,26663,43275.0,14199.0,22138.0,4238,-4238,4238,-4238,-1540.0,1540.0,1017.0,-1017.0,1498.0,-1498.0
LFL,False,2020-01-22 21:49:00,1,10.01,2240,Vitality.Bee,True,False,False,4,4.0,3.0,0.0,0.0,1.0,0.0,True,2.0,False,1,True,10,True,False,3.0,Team MCES,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,5,0.0,70916,46691,63400.0,17874.0,26804.0,65702,41477,64060.0,15165.0,22911.0,5214,-5214,5214,-5214,-660.0,660.0,2709.0,-2709.0,3893.0,-3893.0
LEC,False,2020-01-24 16:17:00,1,10.01,2059,G2 Esports,True,False,False,3,3.0,3.0,0.0,0.0,0.0,0.0,False,1.0,True,1,False,8,True,True,1.0,MAD Lions,2,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0,3,0.0,62116,39736,57285.0,14115.0,22366.0,55143,32763,53095.0,15644.0,24911.0,6973,-6973,6973,-6973,4190.0,-4190.0,-1529.0,1529.0,-2545.0,2545.0
LEC,False,2020-01-24 17:40:00,1,10.01,3049,SK Gaming,True,True,False,4,2.0,0.0,1.0,0.0,1.0,2.0,True,1.0,False,2,True,9,True,True,2.0,Team Vitality,4,4.0,0.0,3.0,1.0,0.0,0.0,0.0,2,5,0.0,84951,52471,83883.0,15393.0,24251.0,84491,52011,79625.0,15152.0,22726.0,460,-460,460,-460,4258.0,-4258.0,241.0,-241.0,1525.0,-1525.0
LEC,False,2020-01-24 19:00:00,1,10.01,2544,Rogue,True,True,False,4,4.0,0.0,0.0,0.0,4.0,0.0,True,1.0,False,1,True,11,True,True,4.0,Misfits Gaming,2,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,0.0,76885,49560,69608.0,14861.0,23591.0,66153,38828,65558.0,14065.0,21279.0,10732,-10732,10732,-10732,4050.0,-4050.0,796.0,-796.0,2312.0,-2312.0
LEC,False,2020-01-24 20:11:00,1,10.01,2392,Excel Esports,True,False,True,3,3.0,1.0,0.0,2.0,0.0,0.0,True,1.0,False,0,False,7,True,False,1.0,FC Schalke 04 Esports,3,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1,5,0.0,70752,44977,63550.0,14814.0,23170.0,69246,43471,67060.0,15842.0,24123.0,1506,-1506,1506,-1506,-3510.0,3510.0,-1028.0,1028.0,-953.0,953.0
LEC,False,2020-01-24 21:18:00,1,10.01,2554,Fnatic,False,False,True,2,2.0,0.0,0.0,1.0,1.0,0.0,False,0.0,True,1,False,5,True,False,0.0,Origen,4,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,10,3.0,64450,37020,61930.0,14285.0,21691.0,74540,47110,66683.0,14788.0,23217.0,-10090,10090,-10090,10090,-4753.0,4753.0,-503.0,503.0,-1526.0,1526.0
LCS.A,False,2020-01-24 23:23:00,1,10.01,1757,Evil Geniuses Academy,False,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,True,1.0,True,1,True,1,False,False,0.0,Dignitas Academy,4,4.0,2.0,1.0,1.0,0.0,0.0,1.0,0,8,1.0,44227,24927,43155.0,14726.0,23606.0,53322,34022,47175.0,15686.0,24582.0,-9095,9095,-9095,9095,-4020.0,4020.0,-960.0,960.0,-976.0,976.0
LCS.A,False,2020-01-24 23:24:00,1,10.01,2122,Cloud9 Academy,True,False,True,4,4.0,1.0,0.0,0.0,3.0,0.0,True,1.0,False,0,False,6,True,False,1.0,Team Liquid Academy,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4,0.0,63005,39985,57975.0,15152.0,23371.0,59559,36539,55900.0,16131.0,24520.0,3446,-3446,3446,-3446,2075.0,-2075.0,-979.0,979.0,-1149.0,1149.0
LCS.A,False,2020-01-25 00:16:00,1,10.01,1877,TSM Academy,False,True,False,0,0.0,0.0,0.0,0.0,0.0,0.0,True,2.0,False,0,False,2,True,False,0.0,Immortals Academy,4,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1,9,2.0,47552,27027,45070.0,14548.0,23706.0,57754,37229,52953.0,15846.0,24106.0,-10202,10202,-10202,10202,-7883.0,7883.0,-1298.0,1298.0,-400.0,400.0
LCS.A,False,2020-01-25 00:20:00,1,10.01,1857,FlyQuest Academy,True,True,True,4,4.0,1.0,2.0,1.0,0.0,0.0,True,1.0,True,1,False,9,True,True,1.0,CLG Academy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,60323,40003,54950.0,16097.0,25833.0,46797,26477,45005.0,15336.0,22356.0,13526,-13526,13526,-13526,9945.0,-9945.0,761.0,-761.0,3477.0,-3477.0
LCS.A,False,2020-01-25 01:11:00,1,10.01,1845,Golden Guardians Academy,True,False,True,5,4.0,1.0,2.0,0.0,1.0,1.0,False,0.0,True,1,True,11,False,True,3.0,100 Thieves Academy,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,3,0.0,57716,37521,52575.0,14630.0,22231.0,47920,27725,46883.0,15285.0,22539.0,9796,-9796,9796,-9796,5692.0,-5692.0,-655.0,655.0,-308.0,308.0
LEC,False,2020-01-25 15:22:00,1,10.01,2127,Team Vitality,False,False,False,1,1.0,0.0,1.0,0.0,0.0,0.0,True,2.0,False,0,True,4,False,False,0.0,MAD Lions,4,4.0,1.0,0.0,0.0,3.0,0.0,0.0,2,11,5.0,59226,36151,55985.0,15312.0,23974.0,65519,42444,58785.0,14386.0,23673.0,-6293,6293,-6293,6293,-2800.0,2800.0,926.0,-926.0,301.0,-301.0
CBLOL,False,2020-01-25 15:48:00,1,10.01,2436,paiN Gaming,False,True,True,3,3.0,2.0,1.0,0.0,0.0,0.0,False,1.0,False,0,False,3,True,True,0.0,Flamengo Esports,3,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1,10,1.0,65754,39529,64608.0,14945.0,25042.0,73505,47280,67000.0,14623.0,23215.0,-7751,7751,-7751,7751,-2392.0,2392.0,322.0,-322.0,1827.0,-1827.0
LEC,False,2020-01-25 16:43:00,1,10.01,1913,Excel Esports,False,False,False,2,2.0,0.0,0.0,2.0,0.0,0.0,True,2.0,False,0,False,7,True,True,2.0,Rogue,3,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1,8,1.0,53552,32662,51235.0,15568.0,24982.0,58957,38067,53395.0,15714.0,24729.0,-5405,5405,-5405,5405,-2160.0,2160.0,-146.0,146.0,253.0,-253.0
